type,timestamp,lat,lng,value,severity,description,limit,excess,zone_type,speed,ride_id
vertical_impact,1771107923098.0,49.1193878,-122.6243024,1.08,high,Vertical impact detected: 1.08g variance,,,,,2
vertical_impact,1771107924098.0,49.1193878,-122.6243024,0.96,high,Vertical impact detected: 0.96g variance,,,,,2
vertical_impact,1771107925176.0,49.1195297,-122.6243051,1.02,high,Vertical impact detected: 1.02g variance,,,,,2
vertical_impact,1771107926233.0,49.1196677,-122.6243095,1.06,high,Vertical impact detected: 1.06g variance,,,,,2
vertical_impact,1771107927310.0,49.1198042,-122.6243147,1.04,high,Vertical impact detected: 1.04g variance,,,,,2
vertical_impact,1771107928393.0,49.1199425,-122.6243202,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107929462.0,49.1200858,-122.6243211,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107930520.0,49.1202353,-122.6243188,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107931588.0,49.1205448,-122.6243121,1.03,high,Vertical impact detected: 1.03g variance,,,,,2
vertical_impact,1771107932664.0,49.120702,-122.624309,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107933722.0,49.1208617,-122.6243095,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107934792.0,49.1210193,-122.6243097,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107935874.0,49.1211668,-122.6243108,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107936942.0,49.1213074,-122.6243129,0.96,high,Vertical impact detected: 0.96g variance,,,,,2
vertical_impact,1771107938009.0,49.1214408,-122.6243109,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107939077.0,49.121569,-122.624309,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107940144.0,49.121692,-122.6243074,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107941212.0,49.1218128,-122.6243047,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107942280.0,49.1219313,-122.624301,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107943339.0,49.1220492,-122.6242957,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107944407.0,49.1221688,-122.6242935,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107945476.0,49.1222931,-122.6242891,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107946541.0,49.1224199,-122.6242892,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107947610.0,49.122688,-122.6242888,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107948685.0,49.1228242,-122.6242853,0.96,high,Vertical impact detected: 0.96g variance,,,,,2
vertical_impact,1771107949761.0,49.1229613,-122.6242851,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107950821.0,49.1231038,-122.6242838,0.93,high,Vertical impact detected: 0.93g variance,,,,,2
vertical_impact,1771107951873.0,49.123246,-122.6242825,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107952956.0,49.123379,-122.6242764,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107954035.0,49.1235006,-122.6242733,0.95,high,Vertical impact detected: 0.95g variance,,,,,2
vertical_impact,1771107955128.0,49.1236146,-122.624273,1.06,high,Vertical impact detected: 1.06g variance,,,,,2
vertical_impact,1771107956159.0,49.1237196,-122.6242728,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107957226.0,49.1238205,-122.6242727,0.91,high,Vertical impact detected: 0.91g variance,,,,,2
vertical_impact,1771107958294.0,49.1239149,-122.6242729,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107959371.0,49.1240048,-122.6242734,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107960457.0,49.1240895,-122.6242715,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107961530.0,49.1241704,-122.6242669,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107962598.0,49.1243527,-122.624261,0.94,high,Vertical impact detected: 0.94g variance,,,,,2
vertical_impact,1771107963657.0,49.1244592,-122.6242571,1.03,high,Vertical impact detected: 1.03g variance,,,,,2
vertical_impact,1771107964734.0,49.1245702,-122.6242522,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107965792.0,49.1246894,-122.6242435,1.04,high,Vertical impact detected: 1.04g variance,,,,,2
vertical_impact,1771107966877.0,49.1248167,-122.6242331,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107967953.0,49.1249442,-122.6242226,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107969030.0,49.1250664,-122.6242133,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107970123.0,49.1251829,-122.6242103,0.95,high,Vertical impact detected: 0.95g variance,,,,,2
vertical_impact,1771107971189.0,49.1252924,-122.6242102,0.96,high,Vertical impact detected: 0.96g variance,,,,,2
vertical_impact,1771107972294.0,49.125393,-122.6242125,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107973296.0,49.1254887,-122.6242138,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107974345.0,49.1255818,-122.6242164,1.02,high,Vertical impact detected: 1.02g variance,,,,,2
vertical_impact,1771107975393.0,49.1256689,-122.6242158,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107976460.0,49.1257463,-122.624222,1.03,high,Vertical impact detected: 1.03g variance,,,,,2
sudden_stop,1771107977216.0,49.1258069,-122.624235,8.85,high,Sudden stop: 8.9 km/h drop in 993.0s,,,,,2
vertical_impact,1771107977545.0,49.1258069,-122.624235,0.96,high,Vertical impact detected: 0.96g variance,,,,,2
vertical_impact,1771107978597.0,49.1258691,-122.6242545,0.95,high,Vertical impact detected: 0.95g variance,,,,,2
vertical_impact,1771107979664.0,49.1258691,-122.6242545,0.95,high,Vertical impact detected: 0.95g variance,,,,,2
vertical_impact,1771107980723.0,49.1258691,-122.6242545,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107981791.0,49.1258691,-122.6242545,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771107982841.0,49.1258691,-122.6242545,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107983902.0,49.1258691,-122.6242545,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107984970.0,49.1258691,-122.6242545,1.02,high,Vertical impact detected: 1.02g variance,,,,,2
vertical_impact,1771107986011.0,49.1258691,-122.6242545,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107987078.0,49.1259142,-122.6242813,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107988163.0,49.1259142,-122.6242813,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107989233.0,49.1259142,-122.6242813,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107990298.0,49.1259142,-122.6242813,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107991374.0,49.1259142,-122.6242813,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107992441.0,49.1259142,-122.6242813,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107993509.0,49.1259142,-122.6242813,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771107994562.0,49.1259142,-122.6242813,1.02,high,Vertical impact detected: 1.02g variance,,,,,2
vertical_impact,1771107995638.0,49.1259142,-122.6242813,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771107996696.0,49.1259142,-122.6242813,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107997772.0,49.1259142,-122.6242813,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771107998827.0,49.1259142,-122.6242813,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771107999899.0,49.1259142,-122.6242813,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108000966.0,49.1259142,-122.6242813,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108002046.0,49.125959,-122.6243219,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108003119.0,49.125959,-122.6243219,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108004187.0,49.125959,-122.6243219,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108005264.0,49.125959,-122.6243219,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108006331.0,49.125959,-122.6243219,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108007382.0,49.125959,-122.6243219,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108008466.0,49.125959,-122.6243219,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108009529.0,49.125959,-122.6243219,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771108010601.0,49.125959,-122.6243219,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108011668.0,49.1260079,-122.6243541,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108012745.0,49.1260079,-122.6243541,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108013823.0,49.1260564,-122.6243899,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108014889.0,49.1260564,-122.6243899,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108015965.0,49.1261023,-122.6244389,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108017035.0,49.1261023,-122.6244389,1.04,high,Vertical impact detected: 1.04g variance,,,,,2
vertical_impact,1771108018095.0,49.1261667,-122.6245205,0.97,high,Vertical impact detected: 0.97g variance,,,,,2
vertical_impact,1771108019153.0,49.1262058,-122.624571,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108020220.0,49.1262499,-122.6246256,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771108021288.0,49.1262988,-122.6246737,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108022364.0,49.1263545,-122.6247043,1.04,high,Vertical impact detected: 1.04g variance,,,,,2
vertical_impact,1771108023439.0,49.1264161,-122.6247106,0.94,high,Vertical impact detected: 0.94g variance,,,,,2
vertical_impact,1771108024507.0,49.1264814,-122.6246819,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108025567.0,49.126549,-122.6246142,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771108026635.0,49.1266896,-122.6244133,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771108027711.0,49.1267712,-122.6242927,1.02,high,Vertical impact detected: 1.02g variance,,,,,2
vertical_impact,1771108028787.0,49.1268607,-122.6241601,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108029838.0,49.1269543,-122.6240196,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771108030913.0,49.1270481,-122.6238819,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108031990.0,49.1271393,-122.6237567,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108033066.0,49.1272266,-122.6236354,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108034134.0,49.1273107,-122.6235195,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108035210.0,49.1273916,-122.6234072,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771108036300.0,49.1274713,-122.6232922,0.95,high,Vertical impact detected: 0.95g variance,,,,,2
vertical_impact,1771108037330.0,49.1275539,-122.6231694,1.03,high,Vertical impact detected: 1.03g variance,,,,,2
vertical_impact,1771108038405.0,49.1276447,-122.6230394,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108039480.0,49.1277398,-122.6229029,0.95,high,Vertical impact detected: 0.95g variance,,,,,2
vertical_impact,1771108040532.0,49.1278395,-122.622763,1.04,high,Vertical impact detected: 1.04g variance,,,,,2
vertical_impact,1771108041600.0,49.1280431,-122.6224797,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108042659.0,49.128148,-122.6223363,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108043727.0,49.1282563,-122.6221864,1.03,high,Vertical impact detected: 1.03g variance,,,,,2
vertical_impact,1771108044794.0,49.1283665,-122.6220322,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108045862.0,49.1284821,-122.6218739,0.96,high,Vertical impact detected: 0.96g variance,,,,,2
vertical_impact,1771108046921.0,49.1285978,-122.621716,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108047989.0,49.1287111,-122.6215611,0.99,high,Vertical impact detected: 0.99g variance,,,,,2
vertical_impact,1771108049056.0,49.1288244,-122.6214017,0.96,high,Vertical impact detected: 0.96g variance,,,,,2
vertical_impact,1771108050116.0,49.1289388,-122.6212401,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108051184.0,49.1290538,-122.6210698,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108052261.0,49.129172,-122.6208964,1.0,high,Vertical impact detected: 1.0g variance,,,,,2
vertical_impact,1771108053343.0,49.1292914,-122.6207217,1.06,high,Vertical impact detected: 1.06g variance,,,,,2
vertical_impact,1771108054403.0,49.1294123,-122.6205422,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108055480.0,49.1295344,-122.6203596,0.98,high,Vertical impact detected: 0.98g variance,,,,,2
vertical_impact,1771108056564.0,49.129657,-122.6201784,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108057648.0,49.1298922,-122.6198247,1.01,high,Vertical impact detected: 1.01g variance,,,,,2
vertical_impact,1771108058733.0,49.1299978,-122.6196718,0.9,high,Vertical impact detected: 0.9g variance,,,,,2
sudden_stop,1771108059084.0,49.1299978,-122.6196718,7.74,high,Sudden stop: 7.7 km/h drop in 1007.0s,,,,,2
vertical_impact,1771108059792.0,49.1300902,-122.6195374,0.95,high,Vertical impact detected: 0.95g variance,,,,,2
